source,target
22978,83695
30922,83695
40397,83695
45356,83695
83695,22978
83695,30922
83695,40397
83695,90203
86467,83695
90203,83695
808,22978
1504,40397
1554,40397
4089,45356
4643,40397
4908,40397
5250,30922
9894,40397
12395,22978
13488,22978
14831,22978
15674,22978
17039,40397
20043,22978
22978,12823
22978,20043
22978,25439
22978,29163
22978,83613
22978,76031
22978,63808
22978,36328
22978,83212
22978,76614
22978,73472
22978,83697
22978,63400
22978,62335
22978,82870
22978,25981
22978,83688
22978,83689
22978,83687
22978,79381
22978,75291
22978,83702
22978,80732
22978,40397
22978,83691
22978,83700
22978,73806
22978,83694
22978,78804
22978,77758
22978,57969
22978,63802
22978,75958
22978,15674
22978,76023
22978,67297
22978,63407
22978,62688
22978,80280
22978,71253
22978,52086
22978,63794
22978,63795
22978,83699
22978,46368
22978,26475
22978,56060
22978,24498
22978,28802
22978,83701
22978,45550
22978,83696
22978,50210
22978,83704
22978,83288
22978,83508
22978,80927
23722,22978
24498,22978
25208,40397
25439,22978
25981,22978
26134,40397
26475,22978
26994,40397
27883,40397
28520,86467
28762,22978
28802,22978
29163,22978
30127,22978
30922,2224
30922,86160
30922,86197
30922,86203
30922,83139
30922,86204
30922,86193
30922,86196
30922,86200
30922,86201
30922,79002
30922,47924
30922,5250
30922,86208
30922,83592
30922,86209
30922,82873
30922,86210
30922,80948
30922,86211
30922,86212
30922,60742
30922,82367
30922,86213
30922,86214
30922,86215
30922,48473
30922,32485
30922,43629
30922,3795
31293,40397
32180,45356
32720,40397
32793,45356
33188,40397
35619,40397
35764,40397
35825,40397
36012,40397
36328,22978
37014,40397
37377,90203
37637,40397
37979,40397
39384,86467
40397,1554
40397,4908
40397,4643
40397,9894
40397,17039
40397,22978
40397,25208
40397,27883
40397,35619
40397,35764
40397,36012
40397,1504
40397,86851
40397,79023
40397,53078
40397,86927
40397,87689
40397,86750
40397,82883
40397,81011
40397,86824
40397,86852
40397,85362
40397,57893
40397,83920
40397,42880
40397,59889
40397,86587
40397,87702
40397,87701
40397,83743
40397,85849
40397,87172
40397,86948
40397,87703
40397,85659
40397,53101
40397,52086
40397,71262
40397,52496
40397,76229
40397,32720
40397,71253
40397,48883
40397,78676
40397,83317
40397,85789
40397,52305
40397,82960
40397,35825
40397,87700
40397,86781
40397,43221
40397,53005
40397,85647
40397,82854
40397,86715
40397,85832
40397,87666
40397,87704
40397,83980
40397,87705
40397,87706
40397,85142
40397,24901
40397,87088
40397,63535
40397,73319
40397,53093
40397,53095
40397,83927
40397,79739
40397,84660
40397,48189
40397,87707
40397,52362
40397,83839
40397,86779
40397,86853
40397,87708
40397,60742
40397,83538
40397,87709
40397,35823
40397,53116
40397,51523
40397,72681
40397,63204
41737,86467
42880,40397
43221,40397
43525,45356
45327,45356
45356,4089
45356,32180
45356,43525
45356,46407
45356,32793
45356,45357
45356,88101
45356,83031
45356,88277
45356,85796
45356,57976
45356,69793
45356,88283
45356,76006
45356,64771
45356,83507
45356,63142
45356,88281
45356,79888
45356,88278
45356,80522
45356,87935
45356,69132
45356,78958
45356,88282
45356,88279
45356,38951
45356,88284
45356,45358
45356,83332
45356,88285
45356,74121
45356,84232
45357,45356
45550,22978
46297,22978
46368,22978
46407,45356
46419,22978
47924,30922
48883,40397
49364,30922
50210,22978
50680,40397
51734,30922
52086,22978
52086,40397
52305,40397
52496,40397
53005,40397
53057,40397
53078,40397
53101,40397
55613,22978
56060,22978
56379,40397
57893,40397
57969,22978
57976,45356
59889,40397
61251,22978
62335,22978
62688,22978
63142,45356
63400,22978
63407,22978
63501,22978
63794,22978
63795,22978
63802,22978
63808,22978
64203,40397
64771,45356
67297,22978
69132,45356
69793,45356
71253,22978
71253,40397
71262,40397
73472,22978
73806,22978
74871,90203
75291,22978
75449,30922
75522,22978
75958,22978
76006,45356
76023,22978
76031,22978
76229,40397
76614,22978
77758,22978
78562,40397
78676,40397
78775,22978
78804,22978
78917,90203
78958,45356
79002,30922
79023,40397
79381,22978
79584,45356
79643,45356
79888,45356
80037,86467
80168,22978
80280,22978
80522,45356
80610,30922
80732,22978
81011,40397
82848,40397
82854,40397
82870,22978
82883,40397
82901,86467
82960,40397
83031,45356
83139,30922
83212,22978
83317,40397
83507,45356
83613,22978
83630,40397
83687,22978
83688,22978
83689,22978
83690,22978
83691,22978
83692,22978
83694,22978
83696,22978
83697,22978
83698,22978
83699,22978
83700,22978
83701,22978
83702,22978
83742,40397
83743,40397
83917,40397
83920,40397
84376,40397
84479,40397
84481,40397
84721,30922
84749,40397
85140,40397
85362,40397
85536,90203
85546,40397
85647,40397
85659,40397
85789,40397
85790,45356
85796,45356
85832,40397
85849,40397
86160,30922
86193,30922
86194,30922
86195,30922
86196,30922
86197,30922
86199,30922
86200,30922
86201,30922
86202,30922
86203,30922
86204,30922
86205,30922
86206,30922
86287,40397
86467,32819
86467,39384
86467,61418
86467,80037
86467,82901
86467,83466
86467,85205
86467,28520
86467,89045
86467,90488
86467,90486
86467,90506
86467,43124
86467,90489
86467,90491
86467,90277
86467,88062
86467,89062
86467,88920
86467,87782
86467,90507
86467,87037
86467,90508
86467,87790
86467,82370
86467,90431
86467,88802
86467,88031
86467,90041
86467,90509
86467,89655
86467,90510
86467,88019
86467,90254
86467,89842
86467,87417
86587,40397
86607,40397
86715,40397
86750,40397
86781,40397
86820,40397
86824,40397
86851,40397
86852,40397
86882,40397
86927,40397
86948,40397
87107,40397
87108,40397
87172,40397
87532,86467
87536,86467
87689,40397
87692,40397
87693,40397
87694,40397
87695,40397
87696,40397
87697,40397
87698,40397
87699,40397
87700,40397
87701,40397
87702,40397
87703,40397
87935,45356
88101,45356
88277,45356
88278,45356
88279,45356
88280,45356
88281,45356
88282,45356
88283,45356
88713,90203
88841,90203
89045,86467
89150,86467
89502,86467
90203,82410
90203,88841
90203,85536
90203,74871
90203,37377
90203,78917
90203,88713
90203,69679
90486,86467
90488,86467
90506,86467
90627,90203
39,2224
42,4089
66,2224
70,4643
129,4643
129,4908
129,1554
129,1504
135,1554
135,4643
153,4643
240,9894
320,4643
322,3795
362,13488
366,57969
378,12395
441,2224
517,12823
539,17039
553,39384
584,2224
625,20043
632,4089
668,20043
670,2224
671,4908
671,4643
671,1554
671,1504
731,1554
731,4908
731,4643
766,808
771,3795
782,4908
782,4643
808,16
808,435
808,809
808,981
808,1115
808,22533
808,6213
