id,user_id_original,region
0,2,east
1,7,rural
2,8,north
3,10,east
4,11,west
5,16,north
6,18,east
7,19,west
8,20,central
9,22,coastal
10,23,rural
11,24,north
12,25,south
13,26,east
14,27,west
15,28,central
16,29,metro
17,30,coastal
18,31,rural
19,32,north
20,33,south
21,34,east
22,35,west
23,37,metro
24,38,coastal
25,40,north
26,41,south
27,42,east
28,43,west
29,44,central
30,45,metro
31,46,coastal
32,47,rural
33,48,north
34,49,south
35,50,east
36,51,west
37,53,metro
38,54,coastal
39,55,rural
40,56,north
41,57,south
42,58,east
43,59,west
44,60,central
45,61,metro
46,62,coastal
47,63,rural
48,64,north
49,66,east
50,67,west
51,68,central
52,71,rural
53,72,north
54,73,south
55,74,east
56,75,west
57,76,central
58,77,metro
59,78,coastal
60,79,rural
61,80,north
62,81,south
63,82,east
64,83,west
65,85,metro
66,86,coastal
67,87,rural
68,88,north
69,89,south
70,90,east
71,91,west
72,92,central
73,93,metro
74,94,coastal
75,95,rural
76,96,north
77,97,south
78,98,east
79,99,west
80,100,central
81,101,metro
82,102,coastal
83,105,south
84,106,east
85,107,west
86,108,central
87,109,metro
88,110,coastal
89,111,rural
90,112,north
91,113,south
92,114,east
93,115,west
94,116,central
95,118,coastal
96,119,rural
97,120,north
98,122,east
99,123,west
100,124,central
101,126,coastal
102,127,rural
103,128,north
104,129,south
105,130,east
106,131,west
107,132,central
108,133,metro
109,135,rural
110,136,north
111,137,south
112,138,east
113,139,west
114,140,central
115,141,metro
116,142,coastal
117,143,rural
118,144,north
119,145,south
120,146,east
121,147,west
122,148,central
123,149,metro
124,152,north
125,153,south
126,154,east
127,155,west
128,156,central
129,157,metro
130,158,coastal
131,159,rural
132,160,north
133,161,south
134,162,east
135,163,west
136,164,central
137,165,metro
138,166,coastal
139,167,rural
140,168,north
141,169,south
142,170,east
143,171,west
144,172,central
145,173,metro
146,176,north
147,178,east
148,179,west
149,181,metro
150,183,rural
151,186,east
152,187,west
153,189,metro
154,190,coastal
155,191,rural
156,194,east
157,195,west
158,196,central
159,197,metro
160,199,rural
161,200,north
162,201,south
163,202,east
164,203,west
165,204,central
166,206,coastal
167,207,rural
168,208,north
169,210,east
170,211,west
171,213,metro
172,214,coastal
173,217,south
174,219,west
175,220,central
176,222,coastal
177,224,north
178,225,south
179,229,metro
180,230,coastal
181,231,rural
182,232,north
183,234,east
184,235,west
185,237,metro
186,238,coastal
187,241,south
188,242,east
189,243,west
190,244,central
191,247,rural
192,249,south
193,250,east
194,252,central
195,253,metro
196,254,coastal
197,255,rural
198,256,north
199,257,south
200,258,east
201,259,west
202,260,central
203,261,metro
204,262,coastal
205,263,rural
206,265,south
207,266,east
208,267,west
209,268,central
210,269,metro
211,270,coastal
212,273,south
213,275,west
214,277,metro
215,278,coastal
216,279,rural
217,280,north
218,281,south
219,283,west
220,284,central
221,285,metro
222,288,north
223,289,south
224,291,west
225,292,central
226,293,metro
227,294,coastal
228,297,south
229,300,central
230,301,metro
231,302,coastal
232,303,rural
233,304,north
234,305,south
235,306,east
236,308,central
237,310,coastal
238,311,rural
239,312,north
240,313,south
241,314,east
242,315,west
243,317,metro
244,318,coastal
245,319,rural
246,323,west
247,324,central
248,325,metro
249,327,rural
250,329,south
251,330,east
252,331,west
253,332,central
254,333,metro
255,334,coastal
256,335,rural
257,336,north
258,337,south
259,339,west
260,341,metro
261,343,rural
262,345,south
263,347,west
264,355,west
265,357,metro
266,358,coastal
267,359,rural
268,362,east
269,369,south
270,370,east
271,371,west
272,372,central
273,373,metro
274,376,north
275,378,east
276,383,rural
277,386,east
278,388,central
279,390,coastal
280,391,rural
281,392,north
282,394,east
283,395,west
284,398,coastal
285,399,rural
286,400,north
287,401,south
288,404,central
289,405,metro
290,407,rural
291,408,north
292,411,west
293,414,coastal
294,416,north
295,417,south
